Bank Name,"City, State",Date,Assets,Assets (adj.),Acquirer
Barnes Banking Company,"Kaysville, UT",2010-01-15,827.8,1148.737688516148,"The FDIC has created the Deposit Insurance National Bank of Kaysville, UT (""DINB of Kaysville"") to facilitate the resolution of Barnes Banking Company, Kaysville, UT."
St. Stephen State Bank,"St. Stephen, MN",2010-01-15,24.7,34.27617891561833,"First State Bank of St. Joseph, St. Joseph, MN has agreed to assume all deposits."
Town Community Bank and Trust,"Antioch, IL",2010-01-15,69.6,96.58388876627676,"First American Bank, Elk Grove Village, IL has agreed to assume all deposits, excluding certain brokered deposits."
Horizon Bank,"Bellingham, WA",2010-01-08,1300,1804.0094166114911,"Washington Federal Savings and Loan Association, Seattle, WA has agreed to assume all deposits, excluding certain brokered deposits."
First Federal Bank of California,"F.S.B., Santa Monica, CA",2009-12-18,6100,8464.967262561613,"OneWest Bank, FSB, Pasadena, CA has agreed to assume all deposits."
Imperial Capital Bank,"La Jolla, CA",2009-12-18,4000,5550.798204958434,"City National Bank, Los Angeles, CA has agreed to assume all deposits, excluding certain brokered deposits."
Independent Bankers' Bank,"Springfield, IL",2009-12-18,585.5,812.4980872507908,"The FDIC created a bridge bank, Independent Bankers' Bank Bridge Bank (IBB Bridge Bank, National Association), to take over operations."
New South Federal Savings Bank,"Irondale, AL",2009-12-18,1500,2081.5493268594128,"Beal Bank, Plano, TX has agreed to assume all deposits."
Citizens State Bank,"New Baltimore, MI",2009-12-18,168.6,233.96614433899802,"Deposit Insurance National Bank of New Baltimore, New Baltimore, MI has agreed to assume insured deposits."
Peoples First Community Bank,"Panama City, FL",2009-12-18,1800,2497.8591922312958,"Hancock Bank, Gulfport, MS has agreed to assume all deposits, excluding certain brokered deposits."
RockBridge Commercial Bank,"Atlanta, GA",2009-12-18,294,407.98366806444494,The FDIC has approved the payout of the insured deposits of RockBridge Commercial Bank.
SolutionsBank,"Overland Park, KS",2009-12-11,511.1,709.7133560619654,"Arvest Bank, Fayetteville, AR has agreed to assume all deposits, excluding certain brokered deposits."
Valley Capital Bank,"National Association, Mesa, AZ",2009-12-11,40.3,55.96057180453376,"Enterprise Bank & Trust, Clayton, MO has agreed to assume all deposits."
Republic Federal Bank,"National Association, Miami, FL",2009-12-11,433,601.2637119444943,"1st United Bank, Boca Raton, FL has agreed to assume all deposits, excluding certain brokered deposits."
Greater Atlantic Bank,"Reston, VA",2009-12-04,203,281.88575871762663,"Sonabank, McLean, VA has agreed to assume all deposits."
Benchmark Bank,"Aurora, IL",2009-12-04,170,236.06196542855432,"MB Financial Bank, National Association, Chicago, IL has agreed to assume all deposits, excluding certain brokered deposits."
AmTrust Bank,"Cleveland, OH",2009-12-04,12000,16663.197559662658,"New York Community Bank, Westbury, NY has agreed to assume all deposits."
The Tattnall Bank,"Reidsville, GA",2009-12-04,49.6,68.87454991327232,"HeritageBank of the South, Albany, GA has agreed to assume all deposits, excluding certain brokered deposits."
First Security National Bank,"Norcross, GA",2009-12-04,128,177.74077396973502,"State Bank and Trust Company, Macon, GA has agreed to assume all deposits, excluding certain brokered deposits."
The Buckhead Community Bank,"Atlanta, GA",2009-12-04,874,1213.636222262097,"State Bank and Trust Company, Macon, GA has agreed to assume all deposits, excluding certain brokered deposits."
Commerce Bank of Southwest Florida,"Fort Myers, FL",2009-11-20,79.7,110.67140379209282,"Central Bank, Stillwater, MN has agreed to assume all deposits, excluding certain brokered deposits."
Pacific Coast National Bank,"San Clemente, CA",2009-11-13,134.4,186.72489205188873,"Sunwest Bank, Tustin, CA has agreed to assume all deposits, excluding certain brokered deposits."
Orion Bank,"Naples, FL",2009-11-13,2700,3751.1697063995503,"IBERIABANK, Lafayette, LA has agreed to assume all deposits, excluding certain brokered deposits."
Century Bank,"a Federal Savings Bank, Sarasota, FL",2009-11-13,728,1011.4264986143972,"IBERIABANK, Lafayette, LA has agreed to assume all deposits, excluding certain brokered deposits."
United Commercial Bank,"San Francisco, CA",2009-11-06,11200,15560.407670990728,"East West Bank, Pasadena, CA has agreed to assume all deposits, excluding certain brokered deposits."
Gateway Bank of St. Louis,"St. Louis, MO",2009-11-06,27.7,38.48422254343242,"Central Bank of Kansas City, Kansas City, MO has agreed to assume all deposits."
Prosperan Bank,"Oakdale, MN",2009-11-06,199.5,277.16976163952233,"Alerus Financial, National Association, Grand Forks, ND has agreed to assume all deposits, excluding certain brokered deposits."
Home Federal Savings Bank,"Detroit, MI",2009-11-06,14.9,20.700899490871592,"Liberty Bank and Trust Company, New Orleans, LA has agreed to assume all deposits."
United Security Bank,"Sparta, GA",2009-11-06,157,218.12357181656645,"Ameris Bank, Moultrie, GA has agreed to assume all deposits, excluding certain brokered deposits."
North Houston Bank,"Houston, TX",2009-10-30,326.2,453.19687341760493,"U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits."
Madisonville State Bank,"Madisonville, TX",2009-10-30,256.7,356.63898653065354,"U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits."
Citizens National Bank,"Teague, TX",2009-10-30,118.2,164.21787381349142,"U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits."
Park National Bank,"Chicago, IL",2009-10-30,4706.1,6538.288798254417,"U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits."
Pacific National Bank,"San Francisco, CA",2009-10-30,2335.3,3244.483931612915,"U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits."
California National Bank,"Los Angeles, CA",2009-10-30,7792.2,10825.875772669102,"U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits."
San Diego National Bank,"San Diego, CA",2009-10-30,3608.1,5012.813117651933,"U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits."
Community Bank of Lemont,"Lemont, IL",2009-10-30,81.8,113.64654888277155,"U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits."
Bank USA,"National Association, Phoenix, AZ",2009-10-30,212.8,295.64774574882387,"U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits."
First DuPage Bank,"Westmont, IL",2009-10-23,279,387.62086966128686,"First Midwest Bank, Itasca, IL has agreed to assume all deposits, excluding certain brokered deposits."
Riverview Community Bank,"Otsego, MN",2009-10-23,108,150.04678825598202,"Central Bank, Stillwater, MN has agreed to assume all deposits."
Bank of Elmwood,"Racine, WI",2009-10-23,327.4,454.8640599537825,"Tri City National Bank, Oak Creek, WI has agreed to assume all deposits, excluding certain brokered deposits."
Flagship National Bank,"Bradenton, FL",2009-10-23,190,263.97120156144985,"First Federal Bank of Florida, Lake City, FL has agreed to assume all deposits."
Hillcrest Bank Florida,"Naples, FL",2009-10-23,83,115.31373541894914,"Stonegate Bank, Fort Lauderdale, FL has agreed to assume all deposits, excluding certain brokered deposits."
American United Bank,"Lawrenceville, GA",2009-10-23,111,154.21475459642596,"Ameris Bank, Moultrie, GA has agreed to assume all deposits."
Partners Bank,"Naples, FL",2009-10-23,65.5,91.00059843302613,"Stonegate Bank, Fort Lauderdale, FL has agreed to assume all deposits."
San Joaquin Bank,"Bakersfield, CA",2009-10-16,775,1080.330147938423,"Citizens Business Bank, Ontario, CA has agreed to assume all deposits, excluding certain brokered deposits."
Southern Colorado National Bank,"Pueblo, CO",2009-10-02,39.5,55.06198818524865,"Legacy Bank, Wiley, CO has agreed to assume all deposits."
Jennings State Bank,"Spring Grove, MN",2009-10-02,56.3,78.48075784378479,"Central Bank, Stillwater, MN has agreed to assume all deposits."
Warren Bank,"Warren, MI",2009-10-02,538,749.958218826931,"The Huntington National Bank, Columbus, OH has agreed to assume all deposits, excluding certain brokered deposits."
Georgian Bank,"Atlanta, GA",2009-09-25,2000,2787.9487688733493,"First Citizens Bank and Trust Company, Inc., Columbia, SC has agreed to assume all deposits, excluding certain brokered deposits."
Irwin Union Bank,"F.S.B., Louisville, KY",2009-09-18,493,687.2293715272807,"First Financial Bank, National Association, Hamilton, OH has agreed to assume all deposits."
Irwin Union Bank and Trust Company,"Columbus, IN",2009-09-18,2700,3763.730837979022,"First Financial Bank, National Association, Hamilton, OH has agreed to assume all deposits."
Venture Bank,"Lacey, WA",2009-09-11,970,1356.2142304538568,"First-Citizens Bank & Trust Company, Raleigh, NC has agreed to assume all deposits, excluding certain brokered deposits."
Brickwell Community Bank,"Woodbury, MN",2009-09-11,72,100.66744803368834,"CorTrust Bank National Association, Mitchell, SD has agreed to assume all deposits, excluding certain brokered deposits."
Corus Bank,"National Association, Chicago, IL",2009-09-11,7000,9787.113003275255,"MB Financial Bank, National Association, Chicago, IL has agreed to assume all deposits, excluding certain brokered deposits."
First State Bank,"Flagstaff, AZ",2009-09-04,105,146.80669504912882,"Sunwest Bank, Tustin, CA has agreed to assume all deposits, excluding certain brokered deposits."
Platinum Community Bank,"Rolling Meadows, IL",2009-09-04,345.6,483.20375056170406,The FDIC has approved the payout of the insured deposits Platinum Community Bank.
Vantus Bank,"Sioux City, IA",2009-09-04,458,640.3568222142953,"Great Southern Bank, Springfield, MO has agreed to assume all deposits."
InBank,"Oak Forest, IL",2009-09-04,212,296.40970809919344,"MB Financial Bank, National Association, Chicago, IL has agreed to assume all deposits, excluding certain brokered deposits."
First Bank of Kansas City,"Kansas City, MO",2009-09-04,16,22.3705440074863,"Great American Bank, De Soto, KS has agreed to assume all deposits."
Affinity Bank,"Ventura, CA",2009-08-28,1000,1398.1590004678937,"Pacific Western Bank, San Diego, CA has agreed to assume all deposits, excluding certain brokered deposits."
Mainstreet Bank,"Forest Lake, MN",2009-08-28,459,641.7549812147632,"Central Bank, Stillwater, MN has agreed to assume all deposits, excluding certain brokered deposits."
Bradford Bank,"Baltimore, MD",2009-08-28,452,631.9678682114879,"Manufacturers and Traders Trust Company, Buffalo, NY has agreed to assume all deposits."
Guaranty Bank,"Austin, TX",2009-08-21,13000,18176.067006082616,"BBVA Compass, Birmingham, AL has agreed to assume all deposits, excluding certain brokered deposits."
CapitalSouth Bank,"Birmingham, AL",2009-08-21,617,862.6641032886904,"IBERIABANK, Lafayette, LA has agreed to assume all deposits, excluding certain brokered deposits."
First Coweta Bank,"Newnan, GA",2009-08-21,167,233.49255307813823,"United Bank, Zebulon, GA, has agreed to assume all deposits, excluding certain brokered deposits."
ebank,"Atlanta, GA",2009-08-21,143,199.9367370669088,"Stearns Bank National Association, St. Cloud, MN, has agreed to assume all deposits."
Community Bank of Nevada,"Las Vegas, NV",2009-08-14,1520,2129.305205504885,"The FDIC has created the Deposit Insurance National Bank of Las Vegas, NV (""DINB of Las Vegas"") to facilitate the resolution of Community Bank of Nevada, Las Vegas, NV."
Community Bank of Arizona,"Phoenix, AZ",2009-08-14,158.5,222.03610202139757,"MidFirst Bank, Oklahoma City, OK, has agreed to assume all deposits, excluding certain brokered deposits (approximately $143.8 million)."
Union Bank,"National Association, Gilbert, AZ",2009-08-14,124,173.706477291188,"MidFirst Bank, Oklahoma City, OK, has agreed to assume all non-brokered deposits."
Colonial Bank,"Montgomery, AL",2009-08-14,25000,35021.467195804034,"Branch Banking and Trust Company (BB&T), Winston-Salem, NC, has agreed to assume all deposits."
Dwelling House Savings and Loan Association,"Pittsburgh, PA",2009-08-14,13.4,18.771506416950963,"PNC Bank, National Association, Pittsburgh, PA has agreed to assume all deposits."
Community First Bank,"Prineville, OR",2009-08-07,209,292.77946575692175,"Home Federal Bank, Nampa, ID, has agreed to assume all deposits, excluding certain brokered deposits."
Community National Bank of Sarasota County,"Venice, FL",2009-08-07,97,135.88329271971966,"Stearns Bank National Association, St. Cloud, MN, has agreed to assume all deposits."
First State Bank,"Sarasota, FL",2009-08-07,463,648.5975724662907,"Stearns Bank National Association, St. Cloud, MN, has agreed to assume all deposits, excluding certain brokered deposits."
Mutual Bank,"Harvey, Illinois",2009-07-31,1600,2241.3739005314583,"United Central Bank, Garland, TX, has agreed to assume all deposits."
First BankAmericano,"Elizabeth, NJ",2009-07-31,166,232.54254218013878,"Crown Bank, Brick, NJ, has agreed to assume all deposits."
Peoples Community Bank,"West Chester, OH",2009-07-31,705.8,988.7260618719395,"First Financial Bank, National Association, Hamilton, OH, has agreed to assume all deposits, excluding certain brokered deposits."
Integrity Bank,"Jupiter, FL",2009-07-31,119,166.70218385202722,"Stonegate Bank, Fort Lauderdale, FL, has agreed to assume all deposits, excluding certain brokered deposits."
First State Bank of Altus,"Altus, OK",2009-07-31,103.4,144.8487883218455,"Herring Bank, Amarillo, TX, has agreed to assume all deposits."
Security Bank of Bibb County,"Macon, GA",2009-07-24,1200,1681.0304253985937,"State Bank and Trust Company, Pinehurst, GA, has agreed to assume all deposits."
Security Bank of Houston County,"Perry, GA",2009-07-24,383,536.5288774397178,"State Bank and Trust Company, Pinehurst, GA, has agreed to assume all deposits."
Security Bank of Jones County,"Gray, GA",2009-07-24,453,634.5889855879691,"State Bank and Trust Company, Pinehurst, GA, has agreed to assume all deposits."
Security Bank of Gwinnett County,"Suwanee, GA",2009-07-24,322,451.076497481956,"State Bank and Trust Company, Pinehurst, GA, has agreed to assume all deposits."
Security Bank of North Metro,"Woodstock, GA",2009-07-24,224,313.7923460744041,"State Bank and Trust Company, Pinehurst, GA, has agreed to assume all deposits."
Security Bank of North Fulton,"Alpharetta, GA",2009-07-24,209,292.77946575692175,"State Bank and Trust Company, Pinehurst, GA, has agreed to assume all deposits."
Waterford Village Bank,"Williamsville, NY",2009-07-24,61.4,86.0127234328947,"Evans Bank, National Association, Angola, NY, has agreed to assume all deposits."
Temecula Valley Bank,"Temecula, CA",2009-07-17,1500,2101.2880317482422,"First-Citizens Bank & Trust Company, Raleigh, North Carolina, has agreed to assume all deposits, excluding certain brokered deposits."
Vineyard Bank,"National Association, Rancho Cucamonga, CA",2009-07-17,1900,2661.631506881107,"California Bank & Trust, San Diego, CA, has agreed to assume all deposits, excluding certain brokered deposits."
BankFirst,"Sioux Falls, SD",2009-07-17,275,385.23613915384436,"Alerus Financial, National Association, Grand Forks, ND, has agreed to assume all deposits."
First Piedmont Bank,"Winder, GA",2009-07-17,115,161.09874910069857,"First American Bank and Trust Company, Athens, GA, has agreed to assume all deposits."
Bank of Wyoming,"Thermopolis, WY",2009-07-10,70,98.38845784860706,"Central Bank & Trust, Lander, WY, has agreed to assume all deposits, excluding certain brokered deposits."
Founders Bank,"Worth, IL",2009-07-02,962.5,1352.841295418347,"The PrivateBank and Trust Company, Chicago, IL, has agreed to assume all deposits."
Millennium State Bank of Texas,"Dallas, TX",2009-07-02,118,165.85482894479478,"State Bank of Texas, Irving, Texas, has agreed to assume all deposits."
The First National Bank of Danville,"Danville, IL",2009-07-02,166,233.32120004098246,"First Financial Bank, National Association, Terre Haute, Indiana, has agreed to assume all deposits."
The Elizabeth State Bank,"Elizabeth, IL",2009-07-02,55.5,78.00799157996703,"Galena State Bank and Trust Company, Galena, IL, has agreed to assume all deposits."
Rock River Bank,"Oregon, IL",2009-07-02,77,108.22730363346777,"The Harvard State Bank, Harvard, Illinois, has agreed to assume all deposits."
The First State Bank of Winchester,"Winchester, IL",2009-07-02,36,50.59977832214078,"The First National Bank of Beardstown, Beardstown, IL, has agreed to assume all deposits."
The John Warner Bank,"Clinton, IL",2009-07-02,70,98.38845784860706,"State Bank of Lincoln, Lincoln, IL, has agreed to assume all deposits."
Mirae Bank,"Los Angeles, CA",2009-06-26,456,640.9305254137831,"Wilshire State Bank, Los Angeles, CA, has agreed to assume all deposits."
MetroPacific Bank,"Irvine, CA",2009-06-26,80,112.4439518269795,"Sunwest Bank, Tustin, CA, has agreed to assume all non-brokered deposits."
Horizon Bank,"Pine City, MN",2009-06-26,87.6,123.12612725054254,"Stearns Bank National Association, St. Cloud, Minnesota, has agreed to assume all deposits, excluding certain brokered deposits."
Neighborhood Community Bank,"Newnan, GA",2009-06-26,221.6,311.4697465607332,"CharterBank, West Point, GA, has agreed to assume all deposits."
Community Bank of West Georgia,"Villa Rica, GA",2009-06-26,199.4,280.26654992874643,The FDIC has approved the payout of the insured deposits of Community Bank of West Georgia.
Cooperative Bank,"Wilmington, NC",2009-06-19,970,1363.3829159021263,"First Bank, Troy, NC, has agreed to assume all deposits, excluding certain brokered deposits."
Southern Community Bank,"Fayetteville, GA",2009-06-19,377,529.8921229846409,"United Community Bank, Blairsville, GA, has agreed to assume all deposits."
First National Bank of Anthony,"Anthony, KS",2009-06-19,156.9,220.53070052066354,"Bank of Kansas, South Hutchinson, Kansas, has agreed to assume all deposits."
Bank of Lincolnwood,"Lincolnwood, IL",2009-06-05,214,300.69794683178924,"Republic Bank of Chicago, Oak Brook, Illinois, has agreed to assume all deposits."
Citizens National Bank,"Macomb, IL",2009-05-22,437,614.0420689976256,"Morton Community Bank, Morton, IL, has agreed to assume all non-brokered deposits."
Strategic Capital Bank,"Champaign, IL",2009-05-22,537,754.5551282648169,"Midland States Bank, Effingham, IL, has agreed to assume all deposits."
BankUnited,"FSB, Coral Gables, FL",2009-05-21,12800,17985.671586200475,"BankUnited, Coral Gables, FL, has agreed to assume all deposits."
Westsound Bank,"Bremerton, WA",2009-05-08,334.6,474.0588145825314,"Kitsap Bank, Port Orchard, WA, has agreed to assume all non-brokered deposits."
America West Bank,"Layton, UT",2009-05-01,299.4,424.1877139450385,"Cache Valley Bank, Logan, Utah, has agreed to assume all deposits."
Citizens Community Bank,"Ridgewood, NJ",2009-05-01,45.1,63.8973476917877,"North Jersey Community Bank, Englewood Cliffs, NJ, has agreed to assume all deposits."
Silverton Bank,"National Association, Atlanta, GA",2009-05-01,4100,5808.849790162519,"The FDIC created a bridge bank, Silverton Bridge Bank, National Association, to take over operations."
First Bank of Idaho,"Ketchum, ID",2009-04-24,488.9,692.6699176610866,"U.S. Bank, National Association, Minneapolis, MN, has agreed to assume all non-brokered deposits."
First Bank of Beverly Hills,"Calabasas, CA",2009-04-24,1500,2125.1889476204337,The FDIC has approved the payout of the insured deposits of First Bank of Beverly Hills.
Michigan Heritage Bank,"Farmington Hills, MI",2009-04-24,184.6,261.539919820488,"Level One Bank, Farmington Hills, MI, has agreed to assume all deposits."
American Southern Bank,"Kennesaw, GA",2009-04-24,112.3,159.1058125451831,"Bank of North Georgia, Alpharetta, GA, has agreed to assume all non-brokered deposits."
Great Basin Bank of Nevada,"Elko, NV",2009-04-17,270.9,383.8091239402503,"Nevada State Bank, Las Vegas, NV, has agreed to assume all deposits."
American Sterling Bank,"Sugar Creek, MO",2009-04-17,181,256.43946634619897,"Metcalf Bank, Lee's Summit, Missouri, has agreed to assume all deposits."
New Frontier Bank,"Greeley, CO",2009-04-10,2000,2837.75486697789,"Deposit Insurance National Bank of Greeley, Greeley, Colorado has agreed to assume the non-brokered insured deposits."
Cape Fear Bank,"Wilmington, NC",2009-04-10,492,698.0876972765609,"First Federal Savings and Loan Association, Charleston, South Carolina, has agreed to assume all deposits, excluding certain brokered deposits."
Omni National Bank,"Atlanta, GA",2009-03-27,956,1356.4468264154314,"SunTrust Bank, Atlanta, GA has agreed to assume the non-brokered insured deposits."
TeamBank,"National Association, Paola, KS",2009-03-20,669.8,950.3641049508952,"Great Southern Bank, Springfield, Missouri, has agreed to assume all deposits."
FirstCity Bank,"Stockbridge, GA",2009-03-20,297,421.4065977462166,The FDIC has approved the payout of the insured deposits of FirstCity Bank.
Colorado National Bank,"Colorado Springs, CO",2009-03-20,123.5,175.2313630358847,"Herring Bank, Amarillo, TX has agreed to assume all deposits."
Freedom Bank of Georgia,"Commerce, GA",2009-03-06,173,245.71300030588955,"Northeast Georgia Bank, Lavonia, Georgia has agreed to assume all deposits."
Security Savings Bank,"Henderson, NV",2009-02-27,238.3,338.45900562366177,"Bank of Nevada, Las Vegas, NV has agreed to assume all non-brokered deposits."
Heritage Community Bank,"Glenwood, IL",2009-02-27,232.9,330.78935127885364,"The MB Financial Bank, National Association, Chicago, Illinois has agreed to assume all deposits."
Silver Falls Bank,"Silverton, OR",2009-02-20,131.4,186.6282557236641,"Citizens Bank, Corvallis, Oregon has agreed to assume all deposits."
Pinnacle Bank,"Beaverton, OR",2009-02-13,73,103.58000047013468,"Washington Trust Bank, Spokane, WA has agreed to assume all deposits."
Corn Belt Bank and Trust Company,"Pittsfield, IL",2009-02-13,271.8,385.658138736748,"The Carlinville National Bank, Carlinville, Illinois has agreed to assume all non-brokered deposits."
Riverside Bank of the Gulf Coast,"Cape Coral, FL",2009-02-13,539,764.7893185397616,"TIB Bank, Naples, Florida has agreed to assume all non-brokered deposits."
Sherman County Bank,"Loup City, NE",2009-02-13,129.8,184.17375426059564,"Heritage Bank, Wood River, NE has agreed to assume all deposits."
County Bank,"Merced, CA",2009-02-06,1700,2412.136997249712,"Westamerica Bank, San Rafael, CA has agreed to assume all deposits."
Alliance Bank,"Culver City, CA",2009-02-06,1140,1617.5506922733362,"California Bank & Trust, San Diego, California has agreed to assume all deposits."
FirstBank Financial Services,"McDonough, GA",2009-02-06,337,478.1706871018546,"Regions Bank, Birmingham, Alabama has agreed to assume all deposits."
Ocala National Bank,"Ocala, FL",2009-01-30,223.5,317.1250699325356,"CenterState Bank of Florida, Winter Haven, FL has agreed to assume all non-brokered deposits."
Suburban Federal Savings Bank,"Crofton, MD",2009-01-30,360,510.8054817705272,"Bank of Essex, Tappahannock, VA has agreed to assume all deposits."
MagnetBank,"Salt Lake City, UT",2009-01-30,292.9,415.597015584965,The FDIC has approved the payout of the insured deposits of MagnetBank.
1st Centennial Bank,"Redlands, CA",2009-01-23,803.3,1139.80567640629,"First California Bank, Westlake Village, CA has agreed to assume the non-brokered insured deposits."
Bank of Clark County,"Vancouver, WA",2009-01-16,446.5,635.8484615420912,"Umpqua Bank, Roseburg, Oregon has agreed to assume the non-brokered insured deposits."
National Bank of Commerce,"Berkeley, IL",2009-01-16,430.9,613.632927387429,"In addition to assuming all of the failed bank's deposits, Republic Bank of Chicago, Oak Brook, IL agreed to pay a discount of $44.9 million, and will purchase approximately $366.6 million of assets. The FDIC will retain the remaining assets for later disposition."
Sanderson State Bank,"Sanderson, TX",2008-12-12,37,52.82403807036963,"Pecos County State Bank, Fort Stockton, TX assumed all deposits."
Haven Trust Bank,"Duluth, GA",2008-12-12,572,816.6310750338224,"Branch Banking and Trust Company, Winston-Salem, NC assumed all deposits."
First Georgia Community Bank,"Jackson, GA",2008-12-05,237.5,339.07321734358885,"United Bank, Zebulon, GA assumed all deposits."
PFF Bank and Trust,"Pomona, CA",2008-11-21,3700,5282.403807036963,"In a transaction facilitated by the FDIC, U.S. Bank, National Association, acquired the banking operations of PFF Bank and Trust, and agreed to assume all deposits."
Downey Savings and Loan Association,"F.A., Newport Beach, CA",2008-11-21,12800,18274.261818938685,"In a transaction facilitated by the FDIC, U.S. Bank, National Association, acquired the banking operations of Downey Savings and Loan Association, and agreed to assume all deposits."
Community Bank,"Loganville, GA",2008-11-21,681,972.2478358357222,"Bank of Essex, Tappahannock, VA agreed to assume all deposits."
Security Pacific Bank,"Los Angeles, CA",2008-11-07,561.1,794.4737761138713,"Pacific Western Bank, Los Angeles, California agreed to assume all deposits."
Franklin Bank,"SSB, Houston, TX",2008-11-07,5100,7221.2016720383945,"Prosperity Bank, El Campo, TX agreed to assume all deposits."
Freedom Bank,"Bradenton, FL",2008-10-31,287,406.36958428921946,"Fifth Third Bank of Grand Rapids, MI agreed to assume all deposits."
Alpha Bank & Trust,"Alpharetta, GA",2008-10-24,354.1,501.3779435429011,"Stearns Bank National Association, St. Cloud, MN agreed to assume the non-brokered insured deposits."
Meridian Bank,"Eldred, IL",2008-10-10,39.2,54.52141109242148,"National Bank of Hillsboro, IL assumed all deposits."
Main Street Bank,"Northville, MI",2008-10-10,98,136.3035277310537,"Monroe Bank & Trust of Monroe, MI agreed to assume all deposits."
Washington Mutual Bank,"Henderson, NV ",2008-09-25,307000,426991.6634023825,"In a transaction facilitated by the FDIC, JPMorgan Chase acquired the banking operations of Washington Mutual Bank, and agreed to assume all deposits (approximately $188 billion)."
Ameribank,"Inc., Northfork, WV",2008-09-19,115,159.94801723542017,"Pioneer Community Bank, Inc., Iaeger, West Virginia agreed to assume all deposits at Ameribank's WV branches; The Citizens Savings Bank, Martins Ferry, OH agreed to assume all deposits at Ameribank's Ohio branches."
Silver State Bank,"Henderson, NV",2008-09-05,2000,2757.7863366182833,"Nevada State Bank, Las Vegas, NV agreed to assume the non-brokered insured deposits."
Integrity Bank,"Alpharetta, GA",2008-08-29,1100,1516.7824851400558,"Regions Bank, Birmingham, AL agreed to assume all deposits."
Columbian Bank and Trust,"Topeka, KS",2008-08-22,752,1036.9276625684745,"Citizens Bank and Trust Company, Chillicothe, MO agreed to assume all deposits."
First Priority Bank,"Bradenton, FL",2008-08-01,259,357.4387123325255,"SunTrust Bank, Atlanta, GA agreed to assume the non-brokered insured deposits."
First National Bank of Nevada,"Reno, NV",2008-07-25,3400,4692.245644519639,"Mutual of Omaha Bank, Omaha, Nebraska agreed to assume all deposits (approximately $3.0 billion). On June 30, 2008, First National Bank of Arizona, Scottsdale, Arizona, merged with First National Bank of Nevada and was included in this action."
First Heritage Bank National Association,"Newport Beach, CA",2008-07-25,254,350.53835109058485,"Mutual of Omaha Bank, Omaha, NE agreed to assume all deposits (approximately $233 million)."
IndyMac Bank,"F.S.B., Pasadena, CA",2008-07-11,32010,44110.35759944479,"Non-brokered insured deposits and substantially all of the assets were transferred to IndyMac Federal Bank, F.S.B., Pasadena, California. The FDIC was named Conservator."
First Integrity Bank,"National Association, Staples, MN",2008-05-30,54.7,75.91589189885175,"First International Bank and Trust, Watford City, ND agreed to assume all deposits."
ANB Financial,"National Association, Bentonville, AR",2008-05-09,2100,2945.0429352068695,"Pulaski Bank and Trust Company, Little Rock, AR agreed to assume the non-brokered insured deposits (approximately $212.9 million)."
Hume Bank,"Hume, MO",2008-03-07,18.7,26.441145384355906,"Security Bank, Rich Hill, MO agreed to assume the insured deposits (approximately $12.5 million)."
Douglass National Bank,"Kansas City, MO",2008-01-25,58.5,83.01291569301367,"Liberty Bank and Trust Company of New Orleans, LA agreed to assume all deposits (approximately $53.8 million)."
Miami Valley Bank,"Lakeview, OH",2007-10-04,86.7,125.08606338735122,"The Citizens Banking Company, Sandusky, OH agreed to assume all deposits."
NetBank,"Alpharetta, GA",2007-09-28,2500,3606.8645728763327,"ING Bank, fsb (ING DIRECT) has agreed to assume $1.5 billion of the failed bank's insured non-brokered deposits."
Metropolitan Savings,"Pittsburgh, PA",2007-02-02,15.8,23.349457953443736,"Allegheny Valley Bank of Pittsburgh, PA has agreed to assume approximately $12.0 million of insured deposits."
Bank of Ephraim,"Ephraim, UT",2004-06-25,46.4,74.0554796404019,"Far West Bank, Provo, UT agreed to assume all deposits. (BIF)"
Reliance Bank,"White Plains, NY",2004-03-19,30.3,48.7981985058698,"Union State Bank, Orangeburg, NY agreed to assume all deposits. (BIF)"
Guaranty National Bank of Tallahassee,"Tallahassee, FL",2004-03-12,74.1,119.52951790486371,"Hancock Bank of Florida, Tallahassee, FL agreed to assume all deposits. (BIF)"
Dollar Savings Bank of Newark,NJ,2004-02-14,12.3,19.883440814140336,The FDIC has approved the payout of the insured deposits of Dollar Savings Bank of Newark. (SAIF)
Pulaski Savings Bank,"Philadelphia, PA",2003-11-14,10.2,16.640224864864862,"Earthstar Bank, South Hampton, PA agreed to assume all deposits. (BIF)"
First National Bank of Blanchardville,"Blanchardville, WI",2003-05-09,35,57.75440131219245,"The Park Bank, Madison, WI agreed to assume all deposits. (BIF)"
Southern Pacific Bank,"Torrance, CA",2003-02-07,1000,1643.834422657952,"Beal Bank of Plano, TX agreed to assume all deposits. (BIF)"
Farmers Bank & Trust of Cheneyville,"Cheneyville, LA",2002-12-17,37,61.15496166484118,"Sabine State Bank and Trust Company, Many, LA agreed to assume all deposits.(BIF)"
Bank of Alamo,"Alamo, TN",2002-11-08,69.4,115.40206721763086,The FDIC has approved the payout of the insured deposits of Bank of Alamo. (BIF)
